AIDS診斷年份,AIDS診斷月份,性別,診斷年齡分組,個案數,縣市
1986,2,男,25-34,1,台北市
1987,9,男,35-49,1,台中市
1988,5,男,25-34,1,台南市
1988,10,男,35-49,1,新北市
1989,3,男,25-34,2,新北市
1989,4,男,50-64,1,新北市
1989,8,男,25-34,1,桃園市
1989,8,男,35-49,1,桃園市
1989,10,男,25-34,1,新北市
1989,10,男,65以上,1,新北市
1989,11,男,35-49,1,新北市
1990,5,男,15-24,1,台北市
1990,6,男,25-34,1,台北市
1990,7,男,35-49,1,台北市
1990,8,男,35-49,1,新北市
1990,9,男,25-34,1,台北市
1991,1,男,25-34,2,高雄市
1991,2,男,25-34,1,新竹縣
1991,5,男,25-34,1,台北市
1991,7,男,25-34,1,屏東縣
1991,7,男,35-49,1,高雄市
1991,9,男,25-34,1,新北市
1991,10,男,25-34,1,台中市
1991,10,男,25-34,1,台北市
1991,11,男,25-34,1,台北市
1991,11,男,35-49,1,台北市
1991,12,男,50-64,1,台北市
1991,12,男,50-64,1,彰化縣
1992,1,女,25-34,1,台北市
1992,2,男,50-64,1,新北市
1992,3,男,25-34,1,新北市
1992,3,男,35-49,1,新竹市
1992,4,女,65以上,1,台北市
1992,5,男,25-34,1,新北市
1992,5,男,50-64,1,新北市
1992,6,男,35-49,1,高雄市
1992,6,男,25-34,1,新北市
1992,8,女,25-34,1,台北市
1992,8,男,25-34,1,新北市
1992,8,男,25-34,1,彰化縣
1992,9,男,25-34,1,南投縣
1992,9,男,25-34,1,屏東縣
1992,9,男,35-49,1,新北市
1992,9,男,50-64,2,新北市
1992,9,男,15-24,1,彰化縣
1992,10,男,25-34,1,桃園市
1992,10,男,50-64,1,彰化縣
1992,11,男,65以上,1,台北市
1992,11,男,35-49,1,雲林縣
1992,11,男,35-49,1,新北市
1993,1,男,35-49,2,新北市
1993,1,男,50-64,1,新北市
1993,2,男,35-49,1,台中市
1993,2,女,15-24,1,新北市
1993,2,男,25-34,1,新北市
1993,2,男,65以上,1,新北市
1993,4,男,50-64,1,新北市
1993,5,女,25-34,1,台北市
1993,5,男,35-49,1,台北市
1993,5,男,35-49,1,澎湖縣
1993,6,男,35-49,1,台北市
1993,6,男,25-34,1,新北市
1993,7,男,25-34,1,台中市
1993,7,男,35-49,2,台北市
1993,7,女,50-64,1,新北市
1993,7,男,35-49,1,新北市
1993,8,男,25-34,1,台北市
1993,8,男,50-64,1,屏東縣
1993,9,男,50-64,1,台北市
1993,9,男,25-34,1,基隆市
1993,10,男,25-34,1,桃園市
1993,10,男,25-34,1,高雄市
1993,10,男,65以上,1,新北市
1993,11,男,50-64,1,台北市
1993,11,男,50-64,1,台南市
1993,11,男,25-34,1,高雄市
1993,11,男,25-34,1,新北市
1993,11,男,65以上,1,新北市
1993,12,男,15-24,1,台北市
1993,12,男,25-34,1,台北市
1993,12,男,35-49,1,桃園市
1993,12,男,25-34,1,高雄市
1993,12,男,35-49,1,嘉義縣
1994,1,男,25-34,1,台北市
1994,1,男,35-49,1,台北市
1994,1,男,35-49,1,台南市
1994,1,男,15-24,1,高雄市
1994,1,男,25-34,1,新北市
1994,2,男,35-49,1,台南市
1994,2,男,25-34,1,南投縣
1994,2,男,35-49,1,雲林縣
1994,2,男,50-64,1,新北市
1994,3,男,25-34,1,台南市
1994,3,男,35-49,1,台南市
1994,3,男,25-34,1,苗栗縣
1994,3,男,35-49,1,桃園市
1994,3,男,25-34,1,新北市
1994,4,男,35-49,1,台北市
1994,4,男,15-24,1,桃園市
1994,4,男,35-49,1,高雄市
1994,4,男,50-64,1,高雄市
1994,4,男,25-34,1,新北市
1994,5,男,35-49,1,台北市
1994,5,男,50-64,1,台北市
1994,5,男,15-24,1,台南市
1994,5,男,35-49,1,台南市
1994,5,男,35-49,3,新北市
1994,6,男,25-34,3,台北市
1994,6,男,35-49,1,台北市
1994,6,男,50-64,1,台北市
1994,6,男,25-34,2,花蓮縣
1994,6,男,35-49,2,新北市
1994,7,男,50-64,1,高雄市
1994,7,男,25-34,2,新北市
1994,7,男,35-49,1,新北市
1994,8,男,65以上,1,台南市
1994,8,男,25-34,1,南投縣
1994,8,男,25-34,1,屏東縣
1994,8,男,25-34,1,高雄市
1994,9,男,25-34,1,台北市
1994,9,男,50-64,1,台北市
1994,9,男,25-34,1,台南市
1994,9,男,25-34,2,宜蘭縣
1994,9,男,25-34,1,桃園市
1994,9,男,25-34,1,新北市
