縣市,HIV診斷年份,HIV診斷月份,性別,診斷年齡分組,個案數
高雄市,1984,1,男,15-24,1
台北市,1984,10,男,15-24,1
台北市,1984,10,男,25-34,1
台北市,1984,10,男,35-49,1
彰化縣,1984,10,男,25-34,1
台北市,1984,11,男,25-34,1
台北市,1984,12,男,25-34,1
花蓮縣,1984,12,男,25-34,1
桃園市,1984,12,男,15-24,1
台北市,1985,1,男,15-24,1
新北市,1985,2,男,15-24,1
台中市,1985,4,男,35-49,1
新北市,1985,4,男,25-34,1
新竹市,1985,4,男,25-34,1
花蓮縣,1985,5,男,15-24,1
桃園市,1985,5,男,25-34,1
台北市,1985,8,男,未滿15,1
新北市,1985,8,男,15-24,1
台北市,1985,9,男,15-24,1
台北市,1985,9,男,25-34,2
嘉義縣,1985,9,男,未滿15,1
新北市,1985,11,男,未滿15,1
台北市,1986,1,男,35-49,1
台北市,1986,1,男,未滿15,1
台北市,1986,2,男,25-34,1
新北市,1986,2,男,15-24,1
台北市,1986,3,男,25-34,1
台北市,1986,7,男,15-24,1
台南市,1986,9,男,15-24,1
新北市,1986,11,男,未滿15,1
新北市,1986,12,男,25-34,1
台北市,1987,3,男,35-49,1
台北市,1987,3,男,未滿15,1
新北市,1987,4,男,15-24,1
新北市,1987,4,男,25-34,1
高雄市,1987,5,男,15-24,1
新北市,1987,5,女,35-49,1
新北市,1987,5,男,未滿15,1
台北市,1987,7,男,未滿15,1
新北市,1987,9,男,35-49,1
新北市,1987,9,男,未滿15,1
新北市,1987,10,男,15-24,1
新竹縣,1987,10,男,15-24,1
台北市,1988,1,男,15-24,1
新北市,1988,1,男,25-34,1
台南市,1988,3,男,25-34,1
桃園市,1988,3,男,15-24,1
台南市,1988,4,男,25-34,1
台南市,1988,5,男,25-34,1
新北市,1988,5,男,35-49,1
桃園市,1988,6,男,25-34,1
新北市,1988,6,男,25-34,1
屏東縣,1988,7,女,25-34,1
高雄市,1988,7,男,15-24,1
台北市,1988,8,男,15-24,1
台北市,1988,8,男,35-49,1
台南市,1988,8,男,15-24,1
新北市,1988,8,男,15-24,1
台中市,1988,10,女,15-24,1
台中市,1988,10,男,25-34,1
南投縣,1988,10,男,50-64,1
新北市,1988,10,男,15-24,1
台北市,1988,11,男,35-49,1
新北市,1988,11,男,35-49,1
新北市,1989,1,男,25-34,1
台北市,1989,2,男,未滿15,1
新北市,1989,2,男,25-34,1
台中市,1989,3,男,25-34,1
台南市,1989,3,男,25-34,1
基隆市,1989,3,男,15-24,1
新北市,1989,3,男,35-49,1
台中市,1989,4,男,15-24,1
台北市,1989,4,女,50-64,1
台北市,1989,4,男,25-34,1
新北市,1989,4,男,50-64,1
台北市,1989,5,男,25-34,1
新北市,1989,5,男,15-24,1
新北市,1989,5,男,25-34,2
台北市,1989,7,男,25-34,1
新北市,1989,7,男,25-34,1
台中市,1989,8,男,25-34,1
南投縣,1989,8,男,15-24,1
桃園市,1989,8,男,25-34,1
桃園市,1989,8,男,35-49,2
新北市,1989,8,男,25-34,1
台中市,1989,9,男,50-64,1
台北市,1989,9,男,15-24,2
彰化縣,1989,9,男,25-34,1
台北市,1989,10,男,15-24,1
宜蘭縣,1989,10,男,25-34,1
高雄市,1989,10,男,15-24,1
新北市,1989,10,男,25-34,1
新北市,1989,10,男,35-49,1
新北市,1989,10,男,65以上,1
台中市,1989,11,男,25-34,1
苗栗縣,1989,11,男,25-34,1
新北市,1989,11,男,35-49,2
台中市,1990,1,男,25-34,1
台北市,1990,2,男,25-34,2
新北市,1990,2,男,25-34,1
台北市,1990,3,男,25-34,2
桃園市,1990,4,男,35-49,1
新北市,1990,4,男,25-34,2
台中市,1990,5,男,25-34,1
台中市,1990,5,男,35-49,1
台北市,1990,6,男,25-34,1
台北市,1990,7,男,25-34,1
屏東縣,1990,7,男,25-34,1
